time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ
1719103280497422300,15.15842236328125,-5.876503944396973,-1.0177639722824097,3.2936151027679443,0.7579782605171204,-0.4710507094860077,0.45119890570640564,0.6726248860359192,0.542049765586853,0.33763474225997925,0.42066817462074285,-0.07005896721425589,0.84893533163682,0.3121520887874561
1719103280507476500,15.1684765625,-5.093711853027344,-0.5803495645523071,3.0038700103759766,0.7460355162620544,-0.5190602540969849,0.417142391204834,0.5725833177566528,0.5550099015235901,0.3517175316810608,0.41736545736239505,-0.06657149124853758,0.8391301620457234,0.3423959369884815
1719103280517531400,15.178531494140625,-4.542524337768555,-0.6255071759223938,2.8507895469665527,0.7324364185333252,-0.5600289702415466,0.38717493414878845,0.4088294506072998,0.5014047622680664,0.3669907748699188,0.4128493277696377,-0.06342720153727117,0.830400182625842,0.36873831427491216
1719103280527586600,15.188586669921875,-4.017797470092773,-0.48259928822517395,2.755906105041504,0.7180849313735962,-0.5970062613487244,0.35768333077430725,0.42745333909988403,0.48221445083618164,0.46726784110069275,0.40855459201404787,-0.05932901427379938,0.8217796098587663,0.39273581605009433
1719103280537640400,15.198640380859375,-3.9621596336364746,-0.16701443493366241,2.6081347465515137,0.7027201652526855,-0.6294058561325073,0.3317118287086487,0.515587329864502,0.5431631803512573,0.3975057601928711,0.403182301112575,-0.055850004618754265,0.8140864155147006,0.414232005009526
1719103280547695400,15.2086953125,-3.5662100315093994,-0.5454784035682678,2.7161736488342285,0.686406135559082,-0.6606910228729248,0.3038651645183563,0.534724235534668,0.7231147289276123,0.3523848056793213,0.397830907667606,-0.05199440657546286,0.8057475838169038,0.43565812712136354
1719103280557750500,15.21875048828125,-3.163367509841919,-0.7358145117759705,2.2293620109558105,0.6715553402900696,-0.6869269609451294,0.2777498960494995,0.6474602222442627,0.6230078339576721,0.23616614937782288,0.3939704018816008,-0.0472227987584087,0.7979003426376348,0.45377579106391575
1719103280567804400,15.228804443359374,-3.567742109298706,-0.9553766846656799,2.1705119609832764,0.658950924873352,-0.7102106213569641,0.24775879085063934,0.6062925457954407,0.4173182249069214,0.25260743498802185,0.3918083315803797,-0.04338326765408543,0.7886680482646076,0.47181223576606407
1719103280577859300,15.238859375,-3.986381769180298,-0.9176838994026184,2.128079891204834,0.645592987537384,-0.7327329516410828,0.21520301699638367,0.6540439128875732,0.256414532661438,0.26290062069892883,0.38942735721965677,-0.040034372465469766,0.7784592214255849,0.49065763211357744
1719103280587914500,15.24891455078125,-4.444350242614746,-0.8141740560531616,2.5642595291137695,0.6293461322784424,-0.7566673755645752,0.1771388202905655,0.5567958950996399,0.1182854175567627,0.2367711067199707,0.3860016404250531,-0.03685697689708668,0.7662969209305596,0.5122825415359414
1719103280597968400,15.258968505859375,-4.215394973754883,-1.4295333623886108,2.2982864379882812,0.612393856048584,-0.7785370945930481,0.13730940222740173,0.447695255279541,0.11256718635559082,0.23968958854675293,0.38308020586068864,-0.032983169090149034,0.7533703007095075,0.5334743539753832
1719103280608023300,15.269023193359375,-4.436882972717285,-1.1530500650405884,1.6150438785552979,0.5984526872634888,-0.795426070690155,0.09566593915224075,0.452938973903656,-0.03750556707382202,0.37964534759521484,0.38185758466217606,-0.030407449876312442,0.7395325262650346,0.5534906624863845
1719103280618077400,15.279077392578126,-4.162851333618164,-1.0463972091674805,2.0208704471588135,0.5832287073135376,-0.8104966282844543,0.054218508303165436,0.6255573034286499,0.19843608140945435,0.3993489742279053,0.3792426997380315,-0.028748574145277227,0.7254534951537709,0.5736425794484479
1719103280628132400,15.28913232421875,-3.658590793609619,-1.7584649324417114,1.6656394004821777,0.5688661932945251,-0.8223065137863159,0.014256035909056664,0.5611539483070374,0.3790844678878784,0.36878538131713867,0.3788575803625582,-0.025047829220313043,0.7116885726305094,0.5910489993384267
